Survey,Category #,Category Label,QID,Question Short Text,Lookup
PQRS,1,"Getting Timely Appointments, Care, and Information",H61DA,"In the last 6 months, when you phoned this provider's office to get an appointment for care you needed right away, how often did you get an appointment as soon as you needed?","PQRS-H61DA-Getting Timely Appointments, Care, and Information"
PQRS,1,"Getting Timely Appointments, Care, and Information",H61DB,"In the last 6 months, when you made an appointment for a check-up or routine care with this provider, how often did you get an appointment as soon as you needed?","PQRS-H61DB-Getting Timely Appointments, Care, and Information"
PQRS,1,"Getting Timely Appointments, Care, and Information",H69DA,"In the last 6 months, when you phoned this provider's office during regular office hours, how often did you get an answer to your medical question that same day?","PQRS-H69DA-Getting Timely Appointments, Care, and Information"
PQRS,1,"Getting Timely Appointments, Care, and Information",H69DB,"In the last 6 months, when you phoned this provider's office after regular office hours, how often did you get an answer to your medical question as soon as you needed?","PQRS-H69DB-Getting Timely Appointments, Care, and Information"
PQRS,1,"Getting Timely Appointments, Care, and Information",H65DD,"Wait time includes time spent in the waiting room and exam room. In the last 6 months, how often did you see this provider within 15 minutes of your appointment time?","PQRS-H65DD-Getting Timely Appointments, Care, and Information"
PQRS,2,How Well Providers Communicate With Patients,H63J,"In the last 6 months, how often did this provider explain things in a way that was easy to understand?",PQRS-H63J-How Well Providers Communicate With Patients
PQRS,2,How Well Providers Communicate With Patients,H63O,"In the last 6 months, how often did this provider listen carefully to you?",PQRS-H63O-How Well Providers Communicate With Patients
PQRS,2,How Well Providers Communicate With Patients,H63FF,"In the last 6 months, how often did this provider give you easy to understand information about these health questions or concerns?",PQRS-H63FF-How Well Providers Communicate With Patients
PQRS,2,How Well Providers Communicate With Patients,H63D,"In the last 6 months, how often did this provider seem to know the important information about your medical history?",PQRS-H63D-How Well Providers Communicate With Patients
PQRS,2,How Well Providers Communicate With Patients,H63CS,"In the last 6 months, how often did this provider show respect for what you had to say?",PQRS-H63CS-How Well Providers Communicate With Patients
PQRS,2,How Well Providers Communicate With Patients,H63AA,"In the last 6 months, how often did this provider spend enough time with you?",PQRS-H63AA-How Well Providers Communicate With Patients
PQRS,3,Patients' Rating of the Provider,H30,"Using any number from 0 to 10, where 0 is the worst provider possible and 10 is the best provider possible, what number would you use to rate this provider?",PQRS-H30-Patients' Rating of the Provider
PQRS,4,Access to Specialists,H633A,"In the last 6 months, how often was it easy to get appointments with specialists?",PQRS-H633A-Access to Specialists
PQRS,4,Access to Specialists,H633D,"In the last 6 months, how often did the specialist you saw most seem to know the important information about your medical history?",PQRS-H633D-Access to Specialists
PQRS,5,Health Promotion and Education,Y63D,"In the last 6 months, did you and anyone on your health care team talk about specific things you could do to prevent illness?",PQRS-Y63D-Health Promotion and Education
PQRS,5,Health Promotion and Education,Y63DH,"In the last 6 months, did you and anyone on your health care team talk about a healthy diet and healthy eating habits?",PQRS-Y63DH-Health Promotion and Education
PQRS,5,Health Promotion and Education,Y63DJ,"In the last 6 months, did you and anyone on your health care team talk about the exercise or physical activity you get?",PQRS-Y63DJ-Health Promotion and Education
PQRS,5,Health Promotion and Education,Y63FG,"In the last 6 months, did anyone on your health care team talk with you about specific goals for your health?",PQRS-Y63FG-Health Promotion and Education
PQRS,5,Health Promotion and Education,Y619D,"In the last 6 months, did anyone on your health care team ask you if there was a period of time when you felt sad, empty, or depressed?",PQRS-Y619D-Health Promotion and Education
PQRS,5,Health Promotion and Education,Y619W,"In the last 6 months, did you and anyone on your health care team talk about things in your life that worry you or cause you stress?",PQRS-Y619W-Health Promotion and Education
PQRS,6,Shared Decision-Making,Y4PP,Did you and this provider talk about the reasons you might want to take a medicine?,PQRS-Y4PP-Shared Decision-Making
PQRS,6,Shared Decision-Making,Y4PPN,Did you and this provider talk about the reasons you might not want to take a medicine?,PQRS-Y4PPN-Shared Decision-Making
PQRS,6,Shared Decision-Making,Y4AM,"When you and this provider talked about starting or stopping a prescription medicine, did this provider ask what you thought was best for you?",PQRS-Y4AM-Shared Decision-Making
PQRS,6,Shared Decision-Making,Y4TS,Did you and this provider talk about the reasons you might want to have surgery or procedure?,PQRS-Y4TS-Shared Decision-Making
PQRS,6,Shared Decision-Making,Y4TSN,Did you and this provider talk about the reasons you might not want to have the surgery or procedure?,PQRS-Y4TSN-Shared Decision-Making
PQRS,6,Shared Decision-Making,Y4TSB,"When you and this provider talked about having surgery or a procedure, did this provider ask what you thought was best for you?",PQRS-Y4TSB-Shared Decision-Making
PQRS,6,Shared Decision-Making,Y64BE,"In the last 6 months, did you and this provider talk about how much of your personal health information you wanted shared with your family or friends?",PQRS-Y64BE-Shared Decision-Making
PQRS,6,Shared Decision-Making,Y64BW,"In the last 6 months, did this provider respect your wishes about how much of your personal health information to share with your family or friends?",PQRS-Y64BW-Shared Decision-Making
PQRS,7,"Helpful, Courteous, and Respectful Office Staff",H69H,"In the last 6 months, how often were clerks and receptionists at this provider's office as helpful as you thought they should be?","PQRS-H69H-Helpful, Courteous, and Respectful Office Staff"
PQRS,7,"Helpful, Courteous, and Respectful Office Staff",H69C,"In the last 6 months, how often did clerks and receptionists at this provider's office treat you with courtesy and respect?","PQRS-H69C-Helpful, Courteous, and Respectful Office Staff"
PQRS,8,Care Coordination,H63DM,"When you visited this provider in the last 6 months, how often did he or she have your medical records?",PQRS-H63DM-Care Coordination
PQRS,8,Care Coordination,H64FC,"In the last 6 months, when this provider ordered a blood test, x-ray, or other test for you, how often did someone from this provider’s office follow up to give you those results?",PQRS-H64FC-Care Coordination
