SurveyTypeID,SurveyTypeDesc,,SurveyID,NumCyclesQ3,QID,TrendQID,NatlDbQID,QAlphaID,Qdesc,SurvInstrumentCategory,RptCategory
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19524,19524,19524,Y4FC,Did someone from this provider's office follow up to give you those results?,Follow-up on Test Results,Follow-Up On Test Results
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19284,14080,14080,H1DA,"In the last 12 months, when you phoned this provider's office to get an appointment for care you needed right away, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19286,14081,14081,H1DB,"In the last 12 months, when you made an appointment for a check-up or routine care with this provider, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19289,14082,14082,H9DA,"In the last 12 months, when you phoned this provider's office during regular office hours, how often did you get an answer to your medical question that same day?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19290,14083,14083,H9DB,"In the last 12 months, when you phoned this provider's office after regular office hours, how often did you get an answer to your medical question as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19291,14084,14084,H5DD,"In the last 12 months, how often did you see this provider within 15 minutes of your appointment time?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19526,19526,19526,H9HA,"During your most recent visit, were clerks and receptionists at this provider's office as helpful as you thought they should be?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19527,19527,19527,H9CA,"During your most recent visit, did clerks and receptionists at this provider's office treat you with courtesy and respect?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19516,19516,19516,H3JA,"During your most recent visit, did this provider explain things in a way that was easy to understand?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19517,19517,19517,H3OA,"During your most recent visit, did this provider listen carefully to you?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19519,19519,19519,H3FFA,"During your most recent visit, did this provider give you easy to understand information about these health questions or concerns?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19520,19520,19520,H3DA,"During your most recent visit, did this provider seem to know the important information about your medical history?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19521,19521,19521,H3CSA,"During your most recent visit, did this provider show respect for what you had to say?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19522,19522,19522,H3AAA,"During your most recent visit, did this provider spend enough time with you?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19301,14092,5885,H30,"Using any number from 0 to 10, where 0 is the worst provider possible and 10 is the best provider possible, what number would you use to rate this provider?",Patients' Rating of the Provider,Patients' Rating of the Provider
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2111,517,19525,19525,19525,H17B,Would you recommend this provider's office to your family and friends?,Willingness to Recommend,Willingness to Recommend
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19300,14091,14091,H4FC,"In the last 12 months, when this provider ordered a blood test, x-ray or other test for you, how often did someone from this provider's office follow-up to give you those results?",Follow-up on Test Results,Follow-Up On Test Results
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19289,14082,14082,H9DA,"In the last 12 months, when you phoned this provider's office during regular office hours, how often did you get an answer to your medical question that same day?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19286,14081,14081,H1DB,"In the last 12 months, when you made an appointment for a check-up or routine care with this provider, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19284,14080,14080,H1DA,"In the last 12 months, when you phoned this provider's office to get an appointment for care you needed right away, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
