"","SURV","DEF"
"1",1875,"CG-CAHPS 12 Month"
"2",1395,"CG-CAHPS 12 Month"
"3",2502,"CG-CAHPS 12 Month"
"4",2207,"CG-CAHPS 12 Month"
"5",1867,"CG-CAHPS 12 Month"
"6",1812,"CG-CAHPS 12 Month"
"7",1883,"CG-CAHPS 12 Month"
"8",2192,"CG-CAHPS 12 Month"
"9",2471,"CG-CAHPS 12 Month"
"10",1983,"CG-CAHPS 12 Month"
"11",1468,"CG-CAHPS 12 Month"
"12",2244,"CG-CAHPS 12 Month"
"13",2346,"CG-CAHPS 12 Month"
"14",422,"CG-CAHPS 12 Month"
"15",1341,"CG-CAHPS 12 Month"
"16",1698,"CG-CAHPS 12 Month"
"17",2126,"CG-CAHPS 12 Month"
"18",1982,"CG-CAHPS 12 Month"
"19",2809,"CG-CAHPS 12 Month"
"20",2593,"CG-CAHPS 12 Month"
"21",2595,"CG-CAHPS 12 Month"
"22",2419,"CG-CAHPS 12 Month"
"23",2179,"CG-CAHPS 12 Month"
"24",2172,"CG-CAHPS 12 Month"
"25",2165,"CG-CAHPS 12 Month"
"26",2186,"CG-CAHPS 12 Month"
"27",2352,"CG-CAHPS 12 Month"
"28",2273,"CG-CAHPS 12 Month"
"29",2525,"CG-CAHPS 12 Month"
"30",2064,"CG-CAHPS 12 Month"
"31",2664,"CG-CAHPS 12 Month"
"32",2032,"CG-CAHPS 12 Month"
"33",2016,"CG-CAHPS 12 Month"
"34",2226,"CG-CAHPS 12 Month"
"35",2557,"CG-CAHPS 12 Month"
"36",2582,"CG-CAHPS 12 Month"
"37",2830,"CG-CAHPS 12 Month"
"38",2804,"CG-CAHPS 12 Month"
"39",2232,"CG-CAHPS 12 Month"
"40",2511,"CG-CAHPS 12 Month"
"41",2259,"CG-CAHPS 12 Month"
"42",2625,"CG-CAHPS 12 Month"
"43",2277,"CG-CAHPS 12 Month"
"44",2756,"CG-CAHPS 12 Month"
"45",2685,"CG-CAHPS 12 Month"
"46",2572,"CG-CAHPS 12 Month"
"47",2455,"CG-CAHPS 12 Month"
