"","QuestionID","ShortLabel","freq"
"1","H10F","How satisfied were you with the completeness and accuracy of information and the willingness of the hospital staff to answer <TS002> questions about finances? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?",1
"2","H10J","How satisfied were you with how clearly the staff explained financial obligations and insurance matters? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"3","H10J","How satisfied were you with how clearly the staff explained financial obligations and insurance matters? Would you say Very satisfied, Satisfied, Dissatisfied, or Very dissatisfied?",1
"4","H13","Using any number from 0 - 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the overall performance of the EMS crew?",1
"5","H13","Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate overall performance of the ambulance crew?",1
"6","H13E","How satisfied were you with the ability of the EMS crew to operate their equipment? Would you say Very satisfied, Satisfied, Dissatisfied, or Very Dissatisfied?",1
"7","H13J","How satisfied were you with the EMS crew's explanation of procedures? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"8","H13J","How satisfied were you with the EMS crew's explanation of procedures? Would you say Very satisfied, Satisfied, Dissatisfied, or Very Dissatisfied?",1
"9","H13K","How satisfied were you with the EMS crew's knowledge of <TS002> condition? Would you say Very satisfied, Satisfied, Dissatisfied, or Very Dissatisfied?",1
"10","H13P","How satisfied were you with the clinical skills demonstrated by the responding ambulance crew? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"11","H13P","How satisfied were you with the clinical skills demonstrated by the responding EMS crew? Would you say Very satisfied, Satisfied, Dissatisfied, or Very Dissatisfied?",1
"12","H14","How satisfied were you with the overall quality of care and services <TS003> received during the visit/stay? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?",2
"13","H14","How satisfied were you with the overall quality of care and services <TS003> received during the visit? Would you say very satisfied, satisfied, dissatisfied or very dissatisfied?",1
"14","H14","How satisfied were you with the overall quality of care and services <TS003> received during the visit? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",2
"15","H14","How satisfied were you with the overall quality of care and services <TS003> received during the visit? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?",1
"16","H17","Would you recommend <SC4> to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?",1
"17","H17","Would you recommend <SC4> to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?",2
"18","H17","Would you recommend this <SC4> to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?",2
"19","H17","Would you recommend this <TSFAC> to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?",1
"20","H17","Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes or Definitely yes?",7
"21","H17","Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?",35
"22","H17","Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?",10
"23","H17","Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?",47
"24","H17","Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes? ?",1
"25","H17","Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, Definitely yes?",1
"26","H17","Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?",3
