"","Var1","Freq"
"1","",294
"2","(IF YES READ): I'll tell you when to begin your comment. The question is, ""Thinking of this visit, please tell me about the person or department who you would like to recognize for providing exceptional care or service."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",2
"3","(IF YES READ): I'll tell you when to begin your comment. The question is, ""Would you please provide additional comments on what the Emergency Department could have done to earn a 9 or 10?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",10
"4","(IF YES READ): I'll tell you when to begin your comment. The question is, ""Would you please provide additional comments on what the Emergency Department could have done to earn a 9 or 10?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THEY ARE DONE, ASK) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, SAY) Can I have you hold for one moment please?",1
"5","(IF YES READ): I'll tell you when to begin your comment. The question is, ""Would you please provide additional comments on what your provider could have done to earn a 9 or 10?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"6","(IF YES, READ) ""When I tell you when to start, please state the name or names of the employees and the reason you would like to commend them. If you do not know the person's name, please provide a brief description and/or the employee's job or position, if possible."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",71
"7","(IF YES, READ) I'll tell you when to begin your comment. ""Please share any suggestions <TS003> may have for improving patient safety, or how we may better meet <TS102> needs and expectations."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"8","(IF YES, READ) I'll tell you when to begin your comment. ""Please tell me about the person or department who you would like to recognize for providing exceptional care or service."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"9","(IF YES, READ) I'll tell you when to begin your comment. ""Please tell us about any good or bad experiences which occurred during <TS002> emergency department visit or about someone who excelled in servicing <TS102> needs."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"10","(If yes, read) I'll tell you when to begin your comment. ""Please tell us about any good or bad experiences which occurred during <TS002> hospital stay or about someone who excelled in servicing your needs."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
