ProjectName,QuestionID,LongLabel,ShortLabel
PTE219R,H10F,,"How satisfied were you with the completeness and accuracy of information and the willingness of the hospital staff to answer <TS002> questions about finances? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?"
PTE856W,H10J,,"How satisfied were you with how clearly the staff explained financial obligations and insurance matters? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?"
PTE889V,H10J,,"How satisfied were you with how clearly the staff explained financial obligations and insurance matters? Would you say Very satisfied, Satisfied, Dissatisfied, or Very dissatisfied?"
PTE1K2J,H13,,"Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate overall performance of the ambulance crew?"
PTE215R,H13,,"Using any number from 0 - 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the overall performance of the EMS crew?"
PTE215R,H13E,,"How satisfied were you with the ability of the EMS crew to operate their equipment? Would you say Very satisfied, Satisfied, Dissatisfied, or Very Dissatisfied?"
PTE215R,H13J,,"How satisfied were you with the EMS crew's explanation of procedures? Would you say Very satisfied, Satisfied, Dissatisfied, or Very Dissatisfied?"
PTE564N,H13J,,"How satisfied were you with the EMS crew's explanation of procedures? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?"
PTE215R,H13K,,"How satisfied were you with the EMS crew's knowledge of <TS002> condition? Would you say Very satisfied, Satisfied, Dissatisfied, or Very Dissatisfied?"
PTE1K2J,H13P,,"How satisfied were you with the clinical skills demonstrated by the responding ambulance crew? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?"
PTE215R,H13P,,"How satisfied were you with the clinical skills demonstrated by the responding EMS crew? Would you say Very satisfied, Satisfied, Dissatisfied, or Very Dissatisfied?"
PTE136R,H14,We're almost finished.  ,"How satisfied were you with the overall quality of care and services <TS003> received during the visit/stay? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?"
PTE1A4N,H14,We're almost finished.   ,"How satisfied were you with the overall quality of care and services <TS003> received during the visit/stay? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?"
PTE273Q,H14,We're almost finished.  ,"How satisfied were you with the overall quality of care and services <TS003> received during the visit? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?"
PTE275Q,H14,We're almost finished. ,"How satisfied were you with the overall quality of care and services <TS003> received during the visit? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?"
