,SURVID_SURVTYPE,SURVDEF,CATEGORY,MISSING_CAT,MISSING_QUES,ADDITIONAL_QUES,DUPLICATE_QUES
1,1867_25,No reference,YOUR CARE FROM NURSES,,,h2c,
2,1867_25,No reference,YOUR CARE FROM NURSES,,,h2o,
3,1867_25,No reference,YOUR CARE FROM NURSES,,,h2j,
4,1867_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,
5,1867_25,No reference,YOUR CARE FROM DOCTORS,,,h3j,
6,1867_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,
7,1867_25,No reference,YOUR EXPERIENCE IN THIS CENTER,,,h4ae,
8,1867_25,No reference,OVERALL RATING OF CENTER,,,h30,
9,1867_25,No reference,OVERALL RATING OF CENTER,,,h17,
10,1812_25,No reference,YOUR CARE FROM NURSES,,,h2c,
11,1812_25,No reference,YOUR CARE FROM NURSES,,,h2o,
12,1812_25,No reference,YOUR CARE FROM NURSES,,,h2j,
13,1812_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,
14,1812_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,
15,1812_25,No reference,Doctors,,,h3j,
16,1812_25,No reference,YOUR EXPERIENCE IN THIS CENTER,,,h4ae,
17,1812_25,No reference,OVERALL RATING OF CENTER,,,h17,
18,1812_25,No reference,OVERALL RATING OF CENTER,,,h30,
19,1883_25,No reference,Instructions,,,q1mf,
20,1883_25,No reference,Find Facility,,,q6f,
21,1883_25,No reference,Cleanliness,,,q6af,
22,1883_25,No reference,WAIT TIME,,,q5df,
23,1883_25,No reference,Privacy,,,q4bf,
24,1883_25,No reference,Treatment By Staff,,,q1qf,
25,1883_25,No reference,Nurse's Assessment,,,q53f,
26,1883_25,No reference,Staff Overall,,,q2af,
27,1883_25,No reference,Discharge,,,q8ff,
28,1883_25,No reference,Trust Physician,,,q3tf,
29,1883_25,No reference,Billing,,,q10df,
30,2192_25,ASC-CAHPS,,Rehab,,,
31,2192_25,ASC-CAHPS,,Same Day Surgery,,,
32,2192_25,ASC-CAHPS,,Overall Rating OF Hospital,,,
33,2192_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,
34,2192_25,ASC-CAHPS,CARE FROM STAFF,,h5c,,
35,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h4af,
36,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h4am,
37,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h4aa,
38,2192_25,ASC-CAHPS,Care From Doctors,,,h3,
39,2192_25,ASC-CAHPS,WAIT TIME,,,h5c,
40,2192_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,
41,2192_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h7x,
42,2192_25,ASC-CAHPS,Overall Rating,,,h30,
43,2192_25,ASC-CAHPS,Would Recommend,,,h17,
44,2471_25,ASC-CAHPS,,Scheduling/Registration,,,
45,2471_25,ASC-CAHPS,,Facility,,,
46,2471_25,ASC-CAHPS,,Rehab,,,
47,2471_25,ASC-CAHPS,,Same Day Surgery,,,
48,2471_25,ASC-CAHPS,,Overall Rating OF Hospital,,,
49,2471_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,
50,2471_25,ASC-CAHPS,ENVIRONMENT,,,h6at,
51,2471_25,ASC-CAHPS,ENVIRONMENT,,,h6fa,
52,2471_25,ASC-CAHPS,ENVIRONMENT,,,h4ba,
53,2471_25,ASC-CAHPS,CARE FROM STAFF,,h2c,,
54,2471_25,ASC-CAHPS,CARE FROM STAFF,,h2o,,
55,2471_25,ASC-CAHPS,CARE FROM STAFF,,h2j,,
56,2471_25,ASC-CAHPS,CARE FROM STAFF,,h5c,,
57,2471_25,ASC-CAHPS,CARE FROM STAFF,,h4ww,,
58,2471_25,ASC-CAHPS,CARE FROM STAFF,,h2,,
59,2471_25,ASC-CAHPS,CARE FROM STAFF,,,h1ef,
60,2471_25,ASC-CAHPS,CARE FROM STAFF,,,h2cd,
61,2471_25,ASC-CAHPS,Care From Doctors,,,h3,
62,2471_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,
63,2471_25,ASC-CAHPS,Overall Rating,,,h30,
64,2471_25,ASC-CAHPS,Would Recommend,,,h17dt,
65,1983_25,ASC-CAHPS,,Scheduling/Registration,,,
66,1983_25,ASC-CAHPS,,Facility,,,
67,1983_25,ASC-CAHPS,,Rehab,,,
68,1983_25,ASC-CAHPS,,Same Day Surgery,,,
69,1983_25,ASC-CAHPS,,Overall Rating OF Hospital,,,
70,1983_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,
71,1983_25,ASC-CAHPS,ENVIRONMENT,,,h6at,
72,1983_25,ASC-CAHPS,ENVIRONMENT,,,h6fa,
73,1983_25,ASC-CAHPS,ENVIRONMENT,,,h4ba,
74,1983_25,ASC-CAHPS,CARE FROM STAFF,,h2c,,
75,1983_25,ASC-CAHPS,CARE FROM STAFF,,h2o,,
76,1983_25,ASC-CAHPS,CARE FROM STAFF,,h2j,,
77,1983_25,ASC-CAHPS,CARE FROM STAFF,,h5c,,
78,1983_25,ASC-CAHPS,CARE FROM STAFF,,h4ww,,
79,1983_25,ASC-CAHPS,CARE FROM STAFF,,h2,,
80,1983_25,ASC-CAHPS,CARE FROM STAFF,,,h1ef,
81,1983_25,ASC-CAHPS,CARE FROM STAFF,,,h2cd,
82,1983_25,ASC-CAHPS,Care From Doctors,,,h3,
83,1983_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,
84,1983_25,ASC-CAHPS,Overall Rating,,,h30,
85,1983_25,ASC-CAHPS,Would Recommend,,,h17,
86,1468_25,No reference,YOUR CARE FROM NURSES,,,h2c,
87,1468_25,No reference,YOUR CARE FROM NURSES,,,h2o,
88,1468_25,No reference,YOUR CARE FROM NURSES,,,h2j,
89,1468_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,
90,1468_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,
91,1468_25,No reference,Doctors,,,h3j,
92,1468_25,No reference,YOUR EXPERIENCE IN THIS CENTER,,,h4ae,
93,1468_25,No reference,OVERALL RATING OF CENTER,,,h17,
94,1468_25,No reference,OVERALL RATING OF CENTER,,,h30,
95,2244_25,Outpatient,,Rehab,,,
96,2244_25,Outpatient,,Rehab,,,
97,2346_25,ASC-CAHPS,,Rehab,,,
98,2346_25,ASC-CAHPS,,Same Day Surgery,,,
99,2346_25,ASC-CAHPS,,Overall Rating OF Hospital,,,
100,2346_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,
101,2346_25,ASC-CAHPS,CARE FROM STAFF,,h5c,,
102,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h4aa,
103,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h4af,
104,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h4am,
105,2346_25,ASC-CAHPS,Care From Doctors,,,h3,
106,2346_25,ASC-CAHPS,WAIT TIME,,,h5c,
107,2346_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,
108,2346_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h7x,
109,2346_25,ASC-CAHPS,Overall Rating,,,h30,
110,2346_25,ASC-CAHPS,Overall Rating,,,h17,
111,422_25,No reference,OUR STAFF,,,h1ef,
112,422_25,No reference,OUR STAFF,,,h2cd,
113,422_25,No reference,THE MEDICAL ENVIRONMENT,,,h6at,
114,422_25,No reference,THE MEDICAL ENVIRONMENT,,,h4ba,
115,422_25,No reference,THE MEDICAL ENVIRONMENT,,,h6dc,
116,422_25,No reference,YOUR MEDICAL CARE,,,h4ab,
117,422_25,No reference,YOUR MEDICAL CARE,,,h3ct,
118,422_25,No reference,YOUR MEDICAL CARE,,,h3at,
119,422_25,No reference,EXPLANATIONS / INSTRUCTIONS,,,h8aa,
120,422_25,No reference,Billing,,,h10d,
121,422_25,No reference,ACCESS TO SURGERY CENTER,,,h6fa,
122,422_25,No reference,ACCESS TO SURGERY CENTER,,,h6gp,
123,422_25,No reference,Overall Satisfaction,,,h14,
124,1341_25,No reference,SCHEDULING & ARRIVAL,,,h1mp,
125,1341_25,No reference,SCHEDULING & ARRIVAL,,,h1b,
126,1341_25,No reference,SCHEDULING & ARRIVAL,,,h5d,
127,1341_25,No reference,YOUR CARE FROM NURSES,,,h2c,
128,1341_25,No reference,YOUR CARE FROM NURSES,,,h2o,
129,1341_25,No reference,YOUR CARE FROM NURSES,,,h2j,
130,1341_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,
131,1341_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,
132,1341_25,No reference,YOUR CARE FROM DOCTORS,,,h3j,
133,1341_25,No reference,"PAIN, ENVIRONMENT & DISCHARGE",,,h4ae,
134,1341_25,No reference,"PAIN, ENVIRONMENT & DISCHARGE",,,y8ab,
135,1341_25,No reference,Overall Ratings,,,h17,
136,1341_25,No reference,Overall Ratings,,,h30,
137,1698_25,No reference,YOUR CARE FROM NURSES,,,h2o,
138,1698_25,No reference,YOUR CARE FROM NURSES,,,h2j,
139,1698_25,No reference,YOUR CARE FROM NURSES,,,h2c,
140,1698_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,
141,1698_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,
142,1698_25,No reference,Doctors,,,h3j,
143,1698_25,No reference,YOUR EXPERIENCE IN THIS CENTER,,,h4ae,
144,1698_25,No reference,OVERALL RATING OF CENTER,,,h30,
145,1698_25,No reference,OVERALL RATING OF CENTER,,,h17,
146,2126_25,ASC-CAHPS,,Rehab,,,
147,2126_25,ASC-CAHPS,,Same Day Surgery,,,
148,2126_25,ASC-CAHPS,,Overall Rating OF Hospital,,,
149,2126_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,
150,2126_25,ASC-CAHPS,CARE FROM STAFF,,h5c,,
151,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h4af,
152,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h4am,
153,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h4aa,
154,2126_25,ASC-CAHPS,Care From Doctors,,,h3,
155,2126_25,ASC-CAHPS,WAIT TIME,,,h5c,
156,2126_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,
157,2126_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h7x,
158,2126_25,ASC-CAHPS,Overall Rating,,,h30,
159,2126_25,ASC-CAHPS,Would Recommend,,,h17,
160,1982_13,No reference,Before Your Arrival,,,h1mp,
161,1982_13,No reference,Overall Ratings,,,h14,
162,2809_184,ACO-8-CAHPS,,Health Promotion and Education,,,
163,2593_184,ACO-8-CAHPS,,Health Promotion and Education,,,
164,2595_184,ACO-12-CAHPS,,Access to Specialists,,,
165,2595_184,ACO-12-CAHPS,,Health Promotion and Education,,,
166,2595_184,ACO-12-CAHPS,,"Helpful, Courteous, and Respectful Office Staff",,,
167,2595_184,ACO-12-CAHPS,,Care Coordination (ACO 12),,,
168,2595_184,ACO-12-CAHPS,,Stewardship of Patient Resources,,,
169,2595_184,ACO-12-CAHPS,Care Coordination,,,h63dm,
170,2595_184,ACO-12-CAHPS,Care Coordination,,,h64fc,
171,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63dm,
172,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h61da,
173,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h61db,
174,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h69da,
175,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h69db,
176,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,d61da,
177,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h65dd,
178,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63j,
179,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63o,
180,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63ff,
181,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63d,
182,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y4pp,
183,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y4ppn,
184,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y4am,
185,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y64ao,
186,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y4ts,
187,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y4tsn,
188,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y4tsb,
189,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y64bw,
190,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63cs,
191,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63aa,
192,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h64fc,
193,2419_184,Totally Custom,Helping You Take Medications as Directed,,,h64ao,
194,2419_184,Totally Custom,Helping You Take Medications as Directed,,,y4ao1,
195,2419_184,Totally Custom,Helping You Take Medications as Directed,,,y64a1,
196,2179_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
197,2179_156,PCMH-Adult,,Access To Care (PCMH),,,
198,2179_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
199,2179_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
200,2179_156,PCMH-Adult,,Access To Care (PCMH),,,
201,2179_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
202,2179_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
203,2179_156,PCMH-Adult,,Access To Care (PCMH),,,
204,2179_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
