,SURVID_SURVTYPE,SURVDEF,CATEGORY,MISSING_CAT,MISSING_QUES,ADDITIONAL_QUES,DUPLICATE_QUES,NOTES
1,1867_25,No reference,YOUR CARE FROM NURSES,,,h2c,,
2,1867_25,No reference,YOUR CARE FROM NURSES,,,h2o,,
3,1867_25,No reference,YOUR CARE FROM NURSES,,,h2j,,
4,1867_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,,
5,1867_25,No reference,YOUR CARE FROM DOCTORS,,,h3j,,
6,1867_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,,
7,1867_25,No reference,YOUR EXPERIENCE IN THIS CENTER,,,h4ae,,
8,1867_25,No reference,OVERALL RATING OF CENTER,,,h30,,
9,1867_25,No reference,OVERALL RATING OF CENTER,,,h17,,
10,1812_25,No reference,YOUR CARE FROM NURSES,,,h2c,,
11,1812_25,No reference,YOUR CARE FROM NURSES,,,h2o,,
12,1812_25,No reference,YOUR CARE FROM NURSES,,,h2j,,
13,1812_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,,
14,1812_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,,
15,1812_25,No reference,Doctors,,,h3j,,
16,1812_25,No reference,YOUR EXPERIENCE IN THIS CENTER,,,h4ae,,
17,1812_25,No reference,OVERALL RATING OF CENTER,,,h17,,
18,1812_25,No reference,OVERALL RATING OF CENTER,,,h30,,
19,1883_25,No reference,Instructions,,,q1mf,,
20,1883_25,No reference,Find Facility,,,q6f,,
21,1883_25,No reference,Cleanliness,,,q6af,,
22,1883_25,No reference,WAIT TIME,,,q5df,,
23,1883_25,No reference,Privacy,,,q4bf,,
24,1883_25,No reference,Treatment By Staff,,,q1qf,,
25,1883_25,No reference,Nurse's Assessment,,,q53f,,
26,1883_25,No reference,Staff Overall,,,q2af,,
27,1883_25,No reference,Discharge,,,q8ff,,
28,1883_25,No reference,Trust Physician,,,q3tf,,
29,1883_25,No reference,Billing,,,q10df,,
30,2192_25,ASC-CAHPS,,Rehab,,,,
31,2192_25,ASC-CAHPS,,Same Day Surgery,,,,
32,2192_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
33,2192_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
34,2192_25,ASC-CAHPS,SCHEDULING/REGISTRATION,,,h1d,,
35,2192_25,ASC-CAHPS,SCHEDULING/REGISTRATION,,,h1b,,
36,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h2c,,
37,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h2o,,
38,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h2j,,
39,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h4ww,,
40,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h2,,
41,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h4af,,
42,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h4am,,
43,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h4aa,,
44,2192_25,ASC-CAHPS,Care From Doctors,,,h3,,
45,2192_25,ASC-CAHPS,WAIT TIME,,,h5c,,
46,2192_25,ASC-CAHPS,WAIT TIME,,,h5d,,
47,2192_25,ASC-CAHPS,FACILITY,,,h6f,,
48,2192_25,ASC-CAHPS,FACILITY,,,h6aa,,
49,2192_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,,
50,2192_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h7x,,
51,2192_25,ASC-CAHPS,Overall Rating,,,h30,,
52,2192_25,ASC-CAHPS,Would Recommend,,,h17,,
53,2471_25,ASC-CAHPS,,Scheduling/Registration,,,,
54,2471_25,ASC-CAHPS,,Facility,,,,
55,2471_25,ASC-CAHPS,,Rehab,,,,
56,2471_25,ASC-CAHPS,,Same Day Surgery,,,,
57,2471_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
58,2471_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
59,2471_25,ASC-CAHPS,ENVIRONMENT,,,h6at,,
60,2471_25,ASC-CAHPS,ENVIRONMENT,,,h6fa,,
61,2471_25,ASC-CAHPS,ENVIRONMENT,,,h4ba,,
62,2471_25,ASC-CAHPS,WAIT TIME,,,h5d,,
63,2471_25,ASC-CAHPS,CARE FROM STAFF,,,h1ef,,
64,2471_25,ASC-CAHPS,CARE FROM STAFF,,,h2cd,,
65,2471_25,ASC-CAHPS,Care From Doctors,,,h3,,
66,2471_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,,
67,2471_25,ASC-CAHPS,Overall Rating,,,h30,,
68,2471_25,ASC-CAHPS,Would Recommend,,,h17dt,,
69,1983_25,ASC-CAHPS,,Scheduling/Registration,,,,
70,1983_25,ASC-CAHPS,,Facility,,,,
71,1983_25,ASC-CAHPS,,Rehab,,,,
72,1983_25,ASC-CAHPS,,Same Day Surgery,,,,
73,1983_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
74,1983_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
75,1983_25,ASC-CAHPS,ENVIRONMENT,,,h6at,,
76,1983_25,ASC-CAHPS,ENVIRONMENT,,,h6fa,,
77,1983_25,ASC-CAHPS,ENVIRONMENT,,,h4ba,,
78,1983_25,ASC-CAHPS,WAIT TIME,,,h5d,,
79,1983_25,ASC-CAHPS,CARE FROM STAFF,,,h1ef,,
80,1983_25,ASC-CAHPS,CARE FROM STAFF,,,h2cd,,
81,1983_25,ASC-CAHPS,Care From Doctors,,,h3,,
82,1983_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,,
83,1983_25,ASC-CAHPS,Overall Rating,,,h30,,
84,1983_25,ASC-CAHPS,Would Recommend,,,h17,,
85,1468_25,No reference,YOUR CARE FROM NURSES,,,h2c,,
86,1468_25,No reference,YOUR CARE FROM NURSES,,,h2o,,
87,1468_25,No reference,YOUR CARE FROM NURSES,,,h2j,,
88,1468_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,,
89,1468_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,,
90,1468_25,No reference,Doctors,,,h3j,,
91,1468_25,No reference,YOUR EXPERIENCE IN THIS CENTER,,,h4ae,,
92,1468_25,No reference,OVERALL RATING OF CENTER,,,h17,,
93,1468_25,No reference,OVERALL RATING OF CENTER,,,h30,,
94,2244_25,Outpatient,,Rehab,,,,
95,2244_25,Outpatient,,Rehab,,,,
96,2244_25,Outpatient,SCHEDULING/REGISTRATION,,,h1d,,
97,2244_25,Outpatient,SCHEDULING/REGISTRATION,,,h1b,,
98,2244_25,Outpatient,SCHEDULING/REGISTRATION,,,h1d,,
99,2244_25,Outpatient,SCHEDULING/REGISTRATION,,,h1b,,
100,2244_25,Outpatient,CARE FROM STAFF,,,h4ww,,
101,2244_25,Outpatient,CARE FROM STAFF,,,h2,,
102,2244_25,Outpatient,CARE FROM STAFF,,,h2c,,
103,2244_25,Outpatient,CARE FROM STAFF,,,h2o,,
104,2244_25,Outpatient,CARE FROM STAFF,,,h2j,,
105,2244_25,Outpatient,CARE FROM STAFF,,,h5c,,
106,2244_25,Outpatient,CARE FROM STAFF,,,h4ww,,
107,2244_25,Outpatient,CARE FROM STAFF,,,h2,,
108,2244_25,Outpatient,CARE FROM STAFF,,,h2c,,
109,2244_25,Outpatient,CARE FROM STAFF,,,h2o,,
110,2244_25,Outpatient,CARE FROM STAFF,,,h2j,,
111,2244_25,Outpatient,CARE FROM STAFF,,,h5c,,
112,2244_25,Outpatient,SAME DAY SURGERY,,,h4aa,,
113,2244_25,Outpatient,SAME DAY SURGERY,,,h4am,,
114,2244_25,Outpatient,SAME DAY SURGERY,,,h4af,,
115,2244_25,Outpatient,SAME DAY SURGERY,,,h7x,,
116,2244_25,Outpatient,SAME DAY SURGERY,,,h8a,,
117,2244_25,Outpatient,SAME DAY SURGERY,,,h3,,
118,2244_25,Outpatient,SAME DAY SURGERY,,,h4aa,,
119,2244_25,Outpatient,SAME DAY SURGERY,,,h4am,,
120,2244_25,Outpatient,SAME DAY SURGERY,,,h4af,,
121,2244_25,Outpatient,SAME DAY SURGERY,,,h7x,,
122,2244_25,Outpatient,SAME DAY SURGERY,,,h8a,,
123,2244_25,Outpatient,SAME DAY SURGERY,,,h3,,
124,2244_25,Outpatient,WAIT TIME,,,h5d,,
125,2244_25,Outpatient,WAIT TIME,,,h5d,,
126,2244_25,Outpatient,FACILITY,,,h6aa,,
127,2244_25,Outpatient,FACILITY,,,h6f,,
128,2244_25,Outpatient,FACILITY,,,h6aa,,
129,2244_25,Outpatient,FACILITY,,,h6f,,
130,2346_25,ASC-CAHPS,,Rehab,,,,
131,2346_25,ASC-CAHPS,,Same Day Surgery,,,,
132,2346_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
133,2346_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
134,2346_25,ASC-CAHPS,SCHEDULING/REGISTRATION,,,h1d,,
135,2346_25,ASC-CAHPS,SCHEDULING/REGISTRATION,,,h1b,,
136,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h2c,,
137,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h2o,,
138,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h2j,,
139,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h4ww,,
140,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h2,,
141,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h4aa,,
142,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h4af,,
143,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h4am,,
144,2346_25,ASC-CAHPS,Care From Doctors,,,h3,,
145,2346_25,ASC-CAHPS,WAIT TIME,,,h5c,,
146,2346_25,ASC-CAHPS,WAIT TIME,,,h5d,,
147,2346_25,ASC-CAHPS,FACILITY,,,h6f,,
148,2346_25,ASC-CAHPS,FACILITY,,,h6aa,,
149,2346_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,,
150,2346_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h7x,,
151,2346_25,ASC-CAHPS,Overall Rating,,,h30,,
152,2346_25,ASC-CAHPS,Overall Rating,,,h17,,
153,422_25,No reference,OUR STAFF,,,h1ef,,
154,422_25,No reference,OUR STAFF,,,h2cd,,
155,422_25,No reference,THE MEDICAL ENVIRONMENT,,,h6at,,
156,422_25,No reference,THE MEDICAL ENVIRONMENT,,,h4ba,,
157,422_25,No reference,THE MEDICAL ENVIRONMENT,,,h6dc,,
158,422_25,No reference,YOUR MEDICAL CARE,,,h4ab,,
159,422_25,No reference,YOUR MEDICAL CARE,,,h3ct,,
160,422_25,No reference,YOUR MEDICAL CARE,,,h3at,,
161,422_25,No reference,EXPLANATIONS / INSTRUCTIONS,,,h8aa,,
162,422_25,No reference,Billing,,,h10d,,
163,422_25,No reference,ACCESS TO SURGERY CENTER,,,h6fa,,
164,422_25,No reference,ACCESS TO SURGERY CENTER,,,h6gp,,
165,422_25,No reference,Overall Satisfaction,,,h14,,
166,1341_25,No reference,SCHEDULING & ARRIVAL,,,h1mp,,
167,1341_25,No reference,SCHEDULING & ARRIVAL,,,h1b,,
168,1341_25,No reference,SCHEDULING & ARRIVAL,,,h5d,,
169,1341_25,No reference,YOUR CARE FROM NURSES,,,h2c,,
170,1341_25,No reference,YOUR CARE FROM NURSES,,,h2o,,
171,1341_25,No reference,YOUR CARE FROM NURSES,,,h2j,,
172,1341_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,,
173,1341_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,,
174,1341_25,No reference,YOUR CARE FROM DOCTORS,,,h3j,,
175,1341_25,No reference,"PAIN, ENVIRONMENT & DISCHARGE",,,h4ae,,
176,1341_25,No reference,"PAIN, ENVIRONMENT & DISCHARGE",,,y8ab,,
177,1341_25,No reference,Overall Ratings,,,h17,,
178,1341_25,No reference,Overall Ratings,,,h30,,
179,1698_25,No reference,YOUR CARE FROM NURSES,,,h2o,,
180,1698_25,No reference,YOUR CARE FROM NURSES,,,h2j,,
181,1698_25,No reference,YOUR CARE FROM NURSES,,,h2c,,
182,1698_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,,
183,1698_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,,
184,1698_25,No reference,Doctors,,,h3j,,
185,1698_25,No reference,YOUR EXPERIENCE IN THIS CENTER,,,h4ae,,
186,1698_25,No reference,OVERALL RATING OF CENTER,,,h30,,
187,1698_25,No reference,OVERALL RATING OF CENTER,,,h17,,
188,2126_25,ASC-CAHPS,,Rehab,,,,
189,2126_25,ASC-CAHPS,,Same Day Surgery,,,,
190,2126_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
191,2126_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
192,2126_25,ASC-CAHPS,SCHEDULING/REGISTRATION,,,h1d,,
193,2126_25,ASC-CAHPS,SCHEDULING/REGISTRATION,,,h1b,,
194,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h2c,,
195,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h2o,,
196,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h2j,,
197,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h4ww,,
198,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h4af,,
199,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h4am,,
200,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h2,,
201,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h4aa,,
202,2126_25,ASC-CAHPS,Care From Doctors,,,h3,,
203,2126_25,ASC-CAHPS,WAIT TIME,,,h5d,,
204,2126_25,ASC-CAHPS,WAIT TIME,,,h5c,,
205,2126_25,ASC-CAHPS,FACILITY,,,h6f,,
