,SURVID_SURVTYPE,SURVDEF,CATEGORY,MISSING_CAT,MISSING_QUES,ADDITIONAL_QUES,DUPLICATE_QUES,NOTES
1,1867_25,No reference,YOUR CARE FROM NURSES,,,h2c,,
2,1867_25,No reference,YOUR CARE FROM NURSES,,,h2o,,
3,1867_25,No reference,YOUR CARE FROM NURSES,,,h2j,,
4,1867_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,,
5,1867_25,No reference,YOUR CARE FROM DOCTORS,,,h3j,,
6,1867_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,,
7,1867_25,No reference,YOUR EXPERIENCE IN THIS CENTER,,,h4ae,,
8,1867_25,No reference,OVERALL RATING OF CENTER,,,h30,,
9,1867_25,No reference,OVERALL RATING OF CENTER,,,h17,,
10,1812_25,No reference,YOUR CARE FROM NURSES,,,h2c,,
11,1812_25,No reference,YOUR CARE FROM NURSES,,,h2o,,
12,1812_25,No reference,YOUR CARE FROM NURSES,,,h2j,,
13,1812_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,,
14,1812_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,,
15,1812_25,No reference,Doctors,,,h3j,,
16,1812_25,No reference,YOUR EXPERIENCE IN THIS CENTER,,,h4ae,,
17,1812_25,No reference,OVERALL RATING OF CENTER,,,h17,,
18,1812_25,No reference,OVERALL RATING OF CENTER,,,h30,,
19,1883_25,No reference,Instructions,,,q1mf,,
20,1883_25,No reference,Find Facility,,,q6f,,
21,1883_25,No reference,Cleanliness,,,q6af,,
22,1883_25,No reference,WAIT TIME,,,q5df,,
23,1883_25,No reference,Privacy,,,q4bf,,
24,1883_25,No reference,Treatment By Staff,,,q1qf,,
25,1883_25,No reference,Nurse's Assessment,,,q53f,,
26,1883_25,No reference,Staff Overall,,,q2af,,
27,1883_25,No reference,Discharge,,,q8ff,,
28,1883_25,No reference,Trust Physician,,,q3tf,,
29,1883_25,No reference,Billing,,,q10df,,
30,2192_25,ASC-CAHPS,,Rehab,,,,
31,2192_25,ASC-CAHPS,,Same Day Surgery,,,,
32,2192_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
33,2192_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
34,2192_25,ASC-CAHPS,CARE FROM STAFF,,h5c,,,
35,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h4af,,
36,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h4am,,
37,2192_25,ASC-CAHPS,CARE FROM STAFF,,,h4aa,,
38,2192_25,ASC-CAHPS,Care From Doctors,,,h3,,
39,2192_25,ASC-CAHPS,WAIT TIME,,,h5c,,
40,2192_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,,
41,2192_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h7x,,
42,2192_25,ASC-CAHPS,Overall Rating,,,h30,,
43,2192_25,ASC-CAHPS,Would Recommend,,,h17,,
44,2471_25,ASC-CAHPS,,Scheduling/Registration,,,,
45,2471_25,ASC-CAHPS,,Facility,,,,
46,2471_25,ASC-CAHPS,,Rehab,,,,
47,2471_25,ASC-CAHPS,,Same Day Surgery,,,,
48,2471_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
49,2471_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
50,2471_25,ASC-CAHPS,ENVIRONMENT,,,h6at,,
51,2471_25,ASC-CAHPS,ENVIRONMENT,,,h6fa,,
52,2471_25,ASC-CAHPS,ENVIRONMENT,,,h4ba,,
53,2471_25,ASC-CAHPS,CARE FROM STAFF,,h2c,,,
54,2471_25,ASC-CAHPS,CARE FROM STAFF,,h2o,,,
55,2471_25,ASC-CAHPS,CARE FROM STAFF,,h2j,,,
56,2471_25,ASC-CAHPS,CARE FROM STAFF,,h5c,,,
57,2471_25,ASC-CAHPS,CARE FROM STAFF,,h4ww,,,
58,2471_25,ASC-CAHPS,CARE FROM STAFF,,h2,,,
59,2471_25,ASC-CAHPS,CARE FROM STAFF,,,h1ef,,
60,2471_25,ASC-CAHPS,CARE FROM STAFF,,,h2cd,,
61,2471_25,ASC-CAHPS,Care From Doctors,,,h3,,
62,2471_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,,
63,2471_25,ASC-CAHPS,Overall Rating,,,h30,,
64,2471_25,ASC-CAHPS,Would Recommend,,,h17dt,,
65,1983_25,ASC-CAHPS,,Scheduling/Registration,,,,
66,1983_25,ASC-CAHPS,,Facility,,,,
67,1983_25,ASC-CAHPS,,Rehab,,,,
68,1983_25,ASC-CAHPS,,Same Day Surgery,,,,
69,1983_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
70,1983_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
71,1983_25,ASC-CAHPS,ENVIRONMENT,,,h6at,,
72,1983_25,ASC-CAHPS,ENVIRONMENT,,,h6fa,,
73,1983_25,ASC-CAHPS,ENVIRONMENT,,,h4ba,,
74,1983_25,ASC-CAHPS,CARE FROM STAFF,,h2c,,,
75,1983_25,ASC-CAHPS,CARE FROM STAFF,,h2o,,,
76,1983_25,ASC-CAHPS,CARE FROM STAFF,,h2j,,,
77,1983_25,ASC-CAHPS,CARE FROM STAFF,,h5c,,,
78,1983_25,ASC-CAHPS,CARE FROM STAFF,,h4ww,,,
79,1983_25,ASC-CAHPS,CARE FROM STAFF,,h2,,,
80,1983_25,ASC-CAHPS,CARE FROM STAFF,,,h1ef,,
81,1983_25,ASC-CAHPS,CARE FROM STAFF,,,h2cd,,
82,1983_25,ASC-CAHPS,Care From Doctors,,,h3,,
83,1983_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,,
84,1983_25,ASC-CAHPS,Overall Rating,,,h30,,
85,1983_25,ASC-CAHPS,Would Recommend,,,h17,,
86,1468_25,No reference,YOUR CARE FROM NURSES,,,h2c,,
87,1468_25,No reference,YOUR CARE FROM NURSES,,,h2o,,
88,1468_25,No reference,YOUR CARE FROM NURSES,,,h2j,,
89,1468_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,,
90,1468_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,,
91,1468_25,No reference,Doctors,,,h3j,,
92,1468_25,No reference,YOUR EXPERIENCE IN THIS CENTER,,,h4ae,,
93,1468_25,No reference,OVERALL RATING OF CENTER,,,h17,,
94,1468_25,No reference,OVERALL RATING OF CENTER,,,h30,,
95,2244_25,ASC-CAHPS,,Rehab,,,,
96,2244_25,Outpatient,,Rehab,,,,
97,2244_25,ASC-CAHPS,SCHEDULING/REGISTRATION,,,h1d,,
98,2244_25,Outpatient,SCHEDULING/REGISTRATION,,,h1d,,
99,2244_25,ASC-CAHPS,CARE FROM STAFF,,,h4ww,,
100,2244_25,Outpatient,CARE FROM STAFF,,,h2c,,
101,2244_25,ASC-CAHPS,CARE FROM STAFF,,,h2j,,
102,2244_25,Outpatient,CARE FROM STAFF,,,h4ww,,
103,2244_25,ASC-CAHPS,CARE FROM STAFF,,,h2c,,
104,2244_25,Outpatient,CARE FROM STAFF,,,h2j,,
105,2244_25,ASC-CAHPS,SAME DAY SURGERY,,,h4am,,
106,2244_25,Outpatient,SAME DAY SURGERY,,,h8a,,
107,2244_25,ASC-CAHPS,SAME DAY SURGERY,,,h3,,
108,2244_25,Outpatient,SAME DAY SURGERY,,,h4am,,
109,2244_25,ASC-CAHPS,SAME DAY SURGERY,,,h8a,,
110,2244_25,Outpatient,SAME DAY SURGERY,,,h3,,
111,2244_25,ASC-CAHPS,WAIT TIME,,,h5d,,
112,2244_25,Outpatient,WAIT TIME,,,h5d,,
113,2244_25,ASC-CAHPS,FACILITY,,,h6aa,,
114,2244_25,Outpatient,FACILITY,,,h6aa,,
115,2244_25,ASC-CAHPS,Willingness to Recommend the Hospital,,,h17,,
116,2244_25,Outpatient,Willingness to Recommend the Hospital,,,h17,,
117,2346_25,ASC-CAHPS,,Rehab,,,,
118,2346_25,ASC-CAHPS,,Same Day Surgery,,,,
119,2346_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
120,2346_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
121,2346_25,ASC-CAHPS,CARE FROM STAFF,,h5c,,,
122,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h4aa,,
123,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h4af,,
124,2346_25,ASC-CAHPS,CARE FROM STAFF,,,h4am,,
125,2346_25,ASC-CAHPS,Care From Doctors,,,h3,,
126,2346_25,ASC-CAHPS,WAIT TIME,,,h5c,,
127,2346_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,,
128,2346_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h7x,,
129,2346_25,ASC-CAHPS,Overall Rating,,,h30,,
130,2346_25,ASC-CAHPS,Overall Rating,,,h17,,
131,422_25,No reference,OUR STAFF,,,h1ef,,
132,422_25,No reference,OUR STAFF,,,h2cd,,
133,422_25,No reference,THE MEDICAL ENVIRONMENT,,,h6at,,
134,422_25,No reference,THE MEDICAL ENVIRONMENT,,,h4ba,,
135,422_25,No reference,THE MEDICAL ENVIRONMENT,,,h6dc,,
136,422_25,No reference,YOUR MEDICAL CARE,,,h4ab,,
137,422_25,No reference,YOUR MEDICAL CARE,,,h3ct,,
138,422_25,No reference,YOUR MEDICAL CARE,,,h3at,,
139,422_25,No reference,EXPLANATIONS / INSTRUCTIONS,,,h8aa,,
140,422_25,No reference,Billing,,,h10d,,
141,422_25,No reference,ACCESS TO SURGERY CENTER,,,h6fa,,
142,422_25,No reference,ACCESS TO SURGERY CENTER,,,h6gp,,
143,422_25,No reference,Overall Satisfaction,,,h14,,
144,1341_25,No reference,SCHEDULING & ARRIVAL,,,h1mp,,
145,1341_25,No reference,SCHEDULING & ARRIVAL,,,h1b,,
146,1341_25,No reference,SCHEDULING & ARRIVAL,,,h5d,,
147,1341_25,No reference,YOUR CARE FROM NURSES,,,h2c,,
148,1341_25,No reference,YOUR CARE FROM NURSES,,,h2o,,
149,1341_25,No reference,YOUR CARE FROM NURSES,,,h2j,,
150,1341_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,,
151,1341_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,,
152,1341_25,No reference,YOUR CARE FROM DOCTORS,,,h3j,,
153,1341_25,No reference,"PAIN, ENVIRONMENT & DISCHARGE",,,h4ae,,
154,1341_25,No reference,"PAIN, ENVIRONMENT & DISCHARGE",,,y8ab,,
155,1341_25,No reference,Overall Ratings,,,h17,,
156,1341_25,No reference,Overall Ratings,,,h30,,
157,1698_25,No reference,YOUR CARE FROM NURSES,,,h2o,,
158,1698_25,No reference,YOUR CARE FROM NURSES,,,h2j,,
159,1698_25,No reference,YOUR CARE FROM NURSES,,,h2c,,
160,1698_25,No reference,YOUR CARE FROM DOCTORS,,,h3c,,
161,1698_25,No reference,YOUR CARE FROM DOCTORS,,,h3o,,
162,1698_25,No reference,Doctors,,,h3j,,
163,1698_25,No reference,YOUR EXPERIENCE IN THIS CENTER,,,h4ae,,
164,1698_25,No reference,OVERALL RATING OF CENTER,,,h30,,
165,1698_25,No reference,OVERALL RATING OF CENTER,,,h17,,
166,2126_25,ASC-CAHPS,,Rehab,,,,
167,2126_25,ASC-CAHPS,,Same Day Surgery,,,,
168,2126_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
169,2126_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
170,2126_25,ASC-CAHPS,CARE FROM STAFF,,h5c,,,
171,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h4af,,
172,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h4am,,
173,2126_25,ASC-CAHPS,CARE FROM STAFF,,,h4aa,,
174,2126_25,ASC-CAHPS,Care From Doctors,,,h3,,
175,2126_25,ASC-CAHPS,WAIT TIME,,,h5c,,
176,2126_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,,
177,2126_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h7x,,
178,2126_25,ASC-CAHPS,Overall Rating,,,h30,,
179,2126_25,ASC-CAHPS,Would Recommend,,,h17,,
180,1982_13,No reference,Before Your Arrival,,,h1mp,,
181,1982_13,No reference,Overall Ratings,,,h14,,
182,2809_184,ACO-8-CAHPS,,Health Promotion and Education,,,,
183,2593_184,ACO-8-CAHPS,,Health Promotion and Education,,,,
184,2595_184,ACO-12-CAHPS,,Access to Specialists,,,,
185,2595_184,ACO-12-CAHPS,,Health Promotion and Education,,,,
186,2595_184,ACO-12-CAHPS,,"Helpful, Courteous, and Respectful Office Staff",,,,
187,2595_184,ACO-12-CAHPS,,Care Coordination (ACO 12),,,,
188,2595_184,ACO-12-CAHPS,,Stewardship of Patient Resources,,,,
189,2595_184,ACO-12-CAHPS,Care Coordination,,,h63dm,,
190,2595_184,ACO-12-CAHPS,Care Coordination,,,h64fc,,
191,2419_184,ACO-8-CAHPS,,"Getting Timely Appointments, Care, and Information",,,,
192,2419_184,ACO-8-CAHPS,,How Well Providers Communicate With Patients,,,,
193,2419_184,ACO-8-CAHPS,,Patients' Rating of the Provider,,,,
194,2419_184,ACO-8-CAHPS,,Access to Specialists,,,,
195,2419_184,ACO-8-CAHPS,,Health Promotion and Education,,,,
196,2419_184,ACO-8-CAHPS,,Shared Decision-Making,,,,
197,2419_184,ACO-8-CAHPS,,"Helpful, Courteous, and Respectful Office Staff",,,,
198,2419_184,ACO-8-CAHPS,,Care Coordination,,,,
199,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,h63dm,,
200,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,h61da,,
201,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,h61db,,
