,SURVID_SURVTYPE,SURVDEF,CATEGORY,MISSING_CAT,ADDTL_CATEGORY,MISSING_QUES,ADDITIONAL_QUES,DUPLICATE_QUES
1,1867_25,ASC-CAHPS,,Scheduling/Registration,,,,
2,1867_25,ASC-CAHPS,,Care From Staff,,,,
3,1867_25,ASC-CAHPS,,Wait Time,,,,
4,1867_25,ASC-CAHPS,,Facility,,,,
5,1867_25,ASC-CAHPS,,Rehab,,,,
6,1867_25,ASC-CAHPS,,Same Day Surgery,,,,
7,1867_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
8,1867_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
9,1867_25,ASC-CAHPS,,,YOUR CARE FROM NURSES,,,
10,1867_25,ASC-CAHPS,,,YOUR CARE FROM DOCTORS,,,
11,1867_25,ASC-CAHPS,,,YOUR EXPERIENCE IN THIS CENTER,,,
12,1867_25,ASC-CAHPS,,,OVERALL RATING OF CENTER,,,
13,1812_25,ASC-CAHPS,,Scheduling/Registration,,,,
14,1812_25,ASC-CAHPS,,Care From Staff,,,,
15,1812_25,ASC-CAHPS,,Wait Time,,,,
16,1812_25,ASC-CAHPS,,Facility,,,,
17,1812_25,ASC-CAHPS,,Rehab,,,,
18,1812_25,ASC-CAHPS,,Same Day Surgery,,,,
19,1812_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
20,1812_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
21,1812_25,ASC-CAHPS,,,YOUR CARE FROM NURSES,,,
22,1812_25,ASC-CAHPS,,,YOUR CARE FROM DOCTORS,,,
23,1812_25,ASC-CAHPS,,,Doctors,,,
24,1812_25,ASC-CAHPS,,,YOUR EXPERIENCE IN THIS CENTER,,,
25,1812_25,ASC-CAHPS,,,OVERALL RATING OF CENTER,,,
26,1883_25,ASC-CAHPS,,Scheduling/Registration,,,,
27,1883_25,ASC-CAHPS,,Care From Staff,,,,
28,1883_25,ASC-CAHPS,,Facility,,,,
29,1883_25,ASC-CAHPS,,Rehab,,,,
30,1883_25,ASC-CAHPS,,Same Day Surgery,,,,
31,1883_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
32,1883_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
33,1883_25,ASC-CAHPS,,,Instructions,,,
34,1883_25,ASC-CAHPS,,,Find Facility,,,
35,1883_25,ASC-CAHPS,,,Cleanliness,,,
36,1883_25,ASC-CAHPS,,,Privacy,,,
37,1883_25,ASC-CAHPS,,,Treatment By Staff,,,
38,1883_25,ASC-CAHPS,,,Nurse's Assessment,,,
39,1883_25,ASC-CAHPS,,,Staff Overall,,,
40,1883_25,ASC-CAHPS,,,Discharge,,,
41,1883_25,ASC-CAHPS,,,Trust Physician,,,
42,1883_25,ASC-CAHPS,,,Billing,,,
43,1883_25,ASC-CAHPS,WAIT TIME,,,h5d,,
44,1883_25,ASC-CAHPS,WAIT TIME,,,,q5df,
45,1468_25,ASC-CAHPS,,Scheduling/Registration,,,,
46,1468_25,ASC-CAHPS,,Care From Staff,,,,
47,1468_25,ASC-CAHPS,,Wait Time,,,,
48,1468_25,ASC-CAHPS,,Facility,,,,
49,1468_25,ASC-CAHPS,,Rehab,,,,
50,1468_25,ASC-CAHPS,,Same Day Surgery,,,,
51,1468_25,ASC-CAHPS,,Overall Rating OF Hospital,,,,
52,1468_25,ASC-CAHPS,,Willingness to Recommend the Hospital,,,,
53,1468_25,ASC-CAHPS,,,YOUR CARE FROM NURSES,,,
54,1468_25,ASC-CAHPS,,,YOUR CARE FROM DOCTORS,,,
55,1468_25,ASC-CAHPS,,,Doctors,,,
